L,R,F,M,C
2706,1,210,580717,0.9616390429999999
2597,7,140,293678,1.25231444
2615,11,135,283712,1.254675516
2047,97,23,281336,1.090869565
1816,5,152,309928,0.970657895
2241,79,92,294585,0.967692483
2931,1,101,287042,0.965346535
1452,3,73,287230,0.962070222
1028,6,56,321489,0.828478237
1365,15,64,375074,0.7080101529999999
1229,22,43,262013,0.988658044
3425,6,145,271438,0.95253487
2685,67,29,321529,0.799126984
2714,3,118,179514,1.398381742
1519,2,50,270067,0.9219848409999999
2194,65,22,234721,1.0260845859999999
1355,7,101,172231,1.3865249
1237,45,40,284160,0.8378442429999999
2916,2,64,169358,1.4015962640000001
945,24,38,332896,0.70828541
2070,4,106,167113,1.369404116
1028,6,23,214590,1.0616309240000001
3277,23,94,305250,0.741803833
1448,74,20,222380,1.004904443
1506,17,44,281837,0.7873084440000001
1264,17,62,243674,0.9029900190000001
2615,3,213,187917,1.146354614
3362,11,74,148685,1.4333644280000002
3005,18,101,159129,1.33816985
2114,11,87,149254,1.424714581
2911,2,53,144076,1.469224298
3413,8,95,149053,1.414895104
3276,16,131,220948,0.9448842709999999
2933,3,95,148227,1.3986401940000002
2677,3,47,285144,0.725685618
1630,108,25,220389,0.937899941
3333,34,24,189813,1.087220053
2923,125,54,141012,1.462104927
2519,1,166,229303,0.890172305
1858,34,81,140819,1.4291794430000002
2897,2,98,137876,1.458541443
1168,3,35,201141,0.9985545459999999
2643,3,95,140803,1.3969850069999998
1427,13,46,256766,0.764737193
3404,38,54,160825,1.20853437
1206,22,21,185493,1.029507529
626,1,110,187588,1.015978367
2815,7,134,140356,1.356053179
3351,2,107,135811,1.3989924230000002
1355,304,70,219282,0.863479447
2140,1,189,235687,0.802633323
813,4,87,132283,1.4251770069999998
2690,11,29,211369,0.8888699859999999
2303,1,48,130135,1.408197795
2460,1,68,135374,1.349375212
3405,4,111,216560,0.828452854
2317,22,69,131660,1.3549435669999998
2249,4,126,204371,0.867522349
3380,15,55,153868,1.1460005979999999
3351,21,76,214921,0.819187329
3329,15,68,127335,1.380410335
3419,1,77,136121,1.2880183809999999
1391,6,84,186821,0.9380310559999999
1052,14,96,204612,0.848239546
1403,8,30,164001,1.0572572120000001
3152,19,85,121097,1.4261062619999998
2328,88,32,182563,0.9446501209999999
1360,19,34,170121,1.0136699759999999
1248,1,197,275800,0.620507614
1933,7,30,184194,0.928504294
593,62,18,209911,0.8118710790000001
1624,19,64,137636,1.236256939
831,4,149,219108,0.774487057
2325,13,61,143186,1.183962818
1265,36,36,209839,0.8061770690000001
1325,22,22,170406,0.992454374
381,29,23,169224,0.995539285
1026,18,16,163191,1.019520072
1252,8,102,140220,1.1793689920000001
3083,6,81,159255,1.034587737
640,6,30,208687,0.782406571
2818,12,127,170611,0.956332827
2019,2,56,116728,1.394863786
705,1,79,208797,0.777341772
3329,9,97,155881,1.036667137
3420,2,158,205159,0.784701427
2884,7,64,115300,1.3912993059999998
1367,13,51,137500,1.165835855
2468,144,29,157056,1.0178590440000002
2369,1,69,114077,1.3874902919999998
2117,15,88,122619,1.281481989
1155,15,42,162453,0.9660694479999999
2621,10,129,109813,1.429138536
2680,14,67,123464,1.265322199
1448,53,12,146784,1.059166667
3412,4,100,162250,0.952273652
3111,11,69,118726,1.297050351
1082,34,17,125349,1.226505277
3427,9,12,146784,1.046666667
703,4,54,144562,1.053910364
2072,21,79,123985,1.228445376
2030,5,87,105119,1.4454897780000002
702,17,53,144682,1.046215562
2644,17,92,134823,1.1183160890000001
1405,11,48,150537,1.001144569
3082,3,90,108184,1.390945611
1898,9,56,104663,1.435274261
3282,4,146,191328,0.7832398290000001
929,15,35,167150,0.894261083
904,63,33,174046,0.85318887
3139,7,142,177357,0.835532119
1230,44,31,204438,0.723434195
2680,29,53,102999,1.434114409
2496,14,21,159605,0.9251142509999999
662,27,16,195712,0.75375
3413,3,85,155704,0.9461749220000001
3414,22,71,119961,1.225504039
2046,2,130,167593,0.873661907
1424,4,89,149557,0.9780682279999999
3167,11,83,103087,1.411593411
3406,2,99,162215,0.8969661870000001
3302,27,40,198627,0.731685018
2131,11,52,99524,1.458000784
3014,10,65,119794,1.210876087
3264,3,34,151642,0.951756044
2786,6,83,149993,0.9607655690000001
868,24,65,109089,1.318943707
466,23,18,146238,0.982511386
2488,4,66,102689,1.39722054
2905,2,52,105167,1.3569867919999998
1112,38,27,182561,0.780547269
3408,1,193,209912,0.6756097790000001
643,6,65,184730,0.764
719,59,14,144708,0.97367319
1624,11,24,213058,0.658633893
1269,17,89,177556,0.787337009
2110,8,57,98104,1.42497258
1599,12,101,140188,0.996902945
393,16,19,155552,0.897522308
2832,24,95,140931,0.988949912
2190,7,85,97855,1.423453171
3414,22,108,169746,0.8176859540000001
3412,4,64,97250,1.426656247
3285,3,113,204853,0.6743815809999999
1677,1,31,95766,1.438600025
3057,5,79,129119,1.065611103
698,17,109,163010,0.843554751
1828,18,19,201613,0.681331859
1761,25,120,172352,0.7902875509999999
2907,1,45,116917,1.154155854
2519,135,19,136374,0.9889101290000001
1404,184,22,135717,0.993493225
1555,15,80,105118,1.277942503
2653,6,82,106666,1.255920537
1331,12,90,179472,0.744693267
1333,157,17,143287,0.9319913879999999
2754,9,39,97116,1.3747245559999999
2156,11,102,102961,1.295748779
3414,11,90,158149,0.8431856670000001
3355,7,125,176585,0.75433474
2609,23,77,94142,1.414713624
3401,6,79,157844,0.843179595
2699,13,116,165365,0.802227557
1167,15,58,91515,1.448642081
2808,8,109,144321,0.914492693
2821,9,180,182540,0.720028487
1538,1,103,218087,0.602317149
3358,8,107,155834,0.841613512
1097,121,14,125796,1.040394289
1508,2,149,155588,0.836742487
930,49,76,94185,1.3801774169999999
2606,3,55,94577,1.3695237740000001
922,4,80,92022,1.407186108
3354,16,40,139742,0.926317142
2997,7,142,183472,0.702883928
380,23,14,126850,1.016463224
1130,30,24,125340,1.026238631
1054,18,13,126495,1.014545871
2672,2,85,151736,0.843447435
3316,3,68,117537,1.085817147
3287,8,116,161730,0.786706177
721,2,123,89350,1.419099832
2553,17,47,91018,1.389867279
1331,95,14,123662,1.022610665
2841,107,49,90602,1.394936204
3230,2,86,157799,0.799002655
2233,11,60,106278,1.182681834
3172,4,110,166843,0.7509068409999999
1329,179,15,183480,0.681333333
3298,2,67,119347,1.046676247
1507,1,51,99034,1.259950118
1414,69,74,96520,1.289827497
1290,27,12,121632,1.023333333
1611,6,59,85171,1.461263576
1677,18,120,176951,0.701123814
2036,3,60,88428,1.40060309
2856,1,57,90553,1.3667442269999999
834,57,43,195034,0.631640227
2171,2,113,151060,0.81511929
3256,23,42,165589,0.743348652
3260,16,58,94554,1.299097235
3092,30,16,184227,0.66544855
3415,18,122,180074,0.68017726
3228,6,72,91164,1.343311285
1599,10,113,121394,1.008554047
3163,2,77,157206,0.7772353470000001
1934,10,57,91658,1.332451177
817,13,16,115401,1.057235119
1788,9,77,151637,0.803643702
3357,3,88,117157,1.039534044
2500,51,13,137604,0.884236795
3237,3,124,113615,1.0701947809999999
3056,31,69,147549,0.823818121
2225,1,66,86430,1.406350341
1216,102,26,178921,0.6793056709999999
1703,4,59,94946,1.273062688
2492,1,125,189177,0.6379945770000001
1843,11,97,171544,0.701652637
2987,3,57,144505,0.832500467
1182,5,64,262290,0.457967364
3384,114,49,88903,1.3509114430000002
2387,2,58,84353,1.423312271
3281,5,136,145540,0.82433441
1200,4,68,148879,0.8048453440000001
2240,4,71,180226,0.664729007
2707,16,116,130636,0.9163108940000001
2499,1,110,172640,0.6930268190000001
2079,12,105,145253,0.823284201
1854,21,52,83356,1.433468257
3210,3,106,167199,0.714441235
3270,178,11,112128,1.065035317
1433,13,59,92635,1.2839906079999999
2314,18,59,145433,0.817583423
2996,26,83,94441,1.2547285609999999
692,317,10,122320,0.966
2038,1,116,136228,0.8661216490000001
3268,2,95,138873,0.849043083
954,6,79,151183,0.7788971640000001
2925,7,76,86061,1.367977249
2452,1,100,91727,1.282347182
3418,1,107,165304,0.7108682190000001
2979,290,25,109336,1.074683178
2129,13,114,151625,0.774562836
1482,9,57,84080,1.3949203140000002
2638,22,76,119514,0.98076627
530,99,11,111496,1.05
2911,30,43,94144,1.240551283
1133,22,20,148827,0.7845195429999999
2479,32,53,85000,1.373478
3125,4,56,82981,1.403768453
915,2,84,140535,0.827823318
2207,6,111,141864,0.819703519
1036,18,109,126167,0.921339098
2951,5,60,98083,1.175007596
1345,3,61,161499,0.713012031
2041,9,43,93447,1.231469603
2671,5,149,157683,0.724336929
1258,4,43,111807,1.020765158
1436,83,56,114358,0.9958276640000001
3058,3,94,109142,1.0409337379999999
3135,13,84,139338,0.811427392
619,9,16,107047,1.051401627
2988,17,128,131315,0.856878118
2713,2,124,130776,0.8600265340000001
1158,4,111,130622,0.8591966129999999
1726,1,77,134838,0.832180765
2920,22,42,77936,1.4360421369999998
1610,1,124,160524,0.695089955
980,6,19,96503,1.156085303
1311,45,53,134627,0.828407972
1034,1,61,83245,1.337276713
1570,1,17,105377,1.0563960829999999
946,4,48,119036,0.9347252090000001
2726,22,26,94249,1.178456641
