MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
44368.0,2010/10/2,2010/10/19,男,5.0,乌鲁木齐,新疆,CN,51.0,2014/3/31,28.0,95644.0,0.0,2902.0,18150.0,68339.0,72232.0,103617.78,2014/3/19,3.5,11955.5,8.0,13.0,26.296296299999998,201.0,0.0,9467.0,0.0,1.4345135119999999,6.0,22.0,17934.0,77710.0,2902.0,9467.0,12369.0,12369.0,108013.0,90079.0,0.7857142859999999,0.214285714,0.187505881,0.812483664,5.0
33114.0,2012/1/16,2012/1/16,男,5.0,NISKAYUNA,NW,US,57.0,2014/3/31,28.0,93334.0,0.0,2075.0,39630.0,41970.0,73852.0,102371.91,2014/1/24,3.5,11666.75,6.0,68.0,24.33333333,87.0,0.0,0.0,6.0,1.3861765419999998,12.0,16.0,42870.0,50464.0,2075.0,0.0,2075.0,2075.0,95409.0,52539.0,0.571428571,0.428571429,0.45931322700000005,0.5406760589999999,6.0
47657.0,2007/8/7,2007/9/19,男,5.0,武汉,湖北,CN,53.0,2014/3/31,33.0,92162.0,0.0,4667.0,37095.0,40115.0,65345.0,94869.84,2014/3/25,4.125,11520.25,166.0,7.0,17.4375,116.0,888.0,1500.0,0.0,1.4518301319999998,15.0,18.0,42630.0,49532.0,4667.0,2388.0,7055.0,6167.0,99217.0,55699.0,0.545454545,0.454545455,0.462550047,0.537439102,3.0
56624.0,2007/7/1,2007/7/1,男,5.0,深圳,广东,CN,49.0,2014/3/31,33.0,88054.0,0.0,3441.0,46160.0,31792.0,63453.0,91823.72,2014/3/31,4.125,11006.75,4.0,1.0,22.6875,78.0,2664.0,0.0,3.0,1.447113927,20.0,13.0,51134.0,36920.0,3441.0,2664.0,6105.0,3441.0,94159.0,40361.0,0.393939394,0.606060606,0.580705241,0.419283402,8.0
18844.0,2006/5/26,2006/7/26,男,4.0,北京市,北京,CN,40.0,2014/3/31,31.0,82761.0,0.0,1693.0,41870.0,33437.0,59830.0,87576.49,2013/12/10,3.875,10345.125,2.0,113.0,20.53333333,80.0,0.0,0.0,3.0,1.463755474,17.0,14.0,46021.0,36740.0,1693.0,0.0,1693.0,1693.0,84454.0,38433.0,0.45161290299999995,0.548387097,0.556064377,0.44392354,5.0
21151.0,2008/3/25,2008/3/25,男,6.0,广州,广东,CN,61.0,2014/3/31,33.0,79726.0,0.0,2911.0,26685.0,47767.0,60566.0,84803.29,2014/1/13,4.125,9965.75,23.0,79.0,19.65625,129.0,0.0,3009.0,0.0,1.400179804,12.0,21.0,27710.0,52016.0,2911.0,3009.0,5920.0,5920.0,85646.0,57936.0,0.636363636,0.363636364,0.34756105200000004,0.652426405,3.0
37124.0,2007/4/2,2007/4/16,女,4.0,从化,广东,CN,55.0,2014/3/31,6.0,90726.0,0.0,17445.0,16750.0,69500.0,73392.0,83789.2,2013/12/21,0.75,11340.75,200.0,102.0,85.8,231.0,0.0,0.0,0.0,1.141666667,1.0,5.0,15121.0,75605.0,17445.0,0.0,17445.0,17445.0,108171.0,93050.0,0.833333333,0.166666667,0.16666483,0.833324148,4.0
1101.0,2007/4/1,2007/5/30,男,4.0,.,北京,CN,56.0,2014/3/31,37.0,76704.0,0.0,3316.0,65247.0,18300.0,58302.0,83264.31,2013/10/21,4.625,9588.0,21.0,163.0,15.19444444,126.0,9836.0,2687.0,0.0,1.428155295,24.0,13.0,60098.0,16606.0,3316.0,12523.0,15839.0,6003.0,92543.0,22609.0,0.35135135100000003,0.648648649,0.783495209,0.21649175399999998,15.0
24551.0,2012/6/1,2012/6/1,男,6.0,青岛市,山东,CN,39.0,2014/3/31,25.0,73542.0,0.0,0.0,33750.0,29012.0,58213.0,82310.55,2014/1/16,3.125,9192.75,0.0,76.0,24.75,140.0,0.0,0.0,0.0,1.413954787,13.0,12.0,38757.0,34785.0,0.0,0.0,0.0,0.0,73542.0,34785.0,0.48,0.52,0.526997811,0.47298859200000004,0.0
40819.0,2010/5/19,2010/5/24,男,5.0,广州,广东,CN,41.0,2014/3/31,31.0,81551.0,0.0,1716.0,37875.0,33201.0,60318.0,81979.56,2014/3/5,3.875,10193.875,16.0,27.0,22.93333333,58.0,0.0,0.0,0.0,1.35912265,16.0,15.0,42437.0,39114.0,1716.0,0.0,1716.0,1716.0,83267.0,40830.0,0.48387096799999996,0.516129032,0.520367373,0.479620365,0.0
