,MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight,Category
0,54993,2006/11/2,2008/12/24,男,6,.,北京,CN,31.0,2014/3/31,210,505308,0,74460,239560.0,234188.0,580717,558440.14,2014/3/31,26.25,63163.5,2,1,3.483253589,18,3352,36640,34,0.9616390429999999,103,107,246197,259111,74460,39992,114452,111100,619760,370211,0.50952381,0.49047619,0.48722069100000004,0.51277733,50,4
1,28065,2007/2/19,2007/8/3,男,6,,北京,CN,42.0,2014/3/31,140,362480,0,41288,171483.0,167434.0,293678,367777.2,2014/3/25,17.5,45310.0,2,7,5.194244604,17,0,12000,29,1.25231444,68,72,177358,185122,41288,12000,53288,53288,415768,238410,0.514285714,0.485714286,0.489289094,0.510708147,33,4
2,55106,2007/2/1,2007/8/30,男,6,.,北京,CN,40.0,2014/3/31,135,351159,0,39711,163618.0,164982.0,283712,355966.5,2014/3/21,16.875,43894.875,10,11,5.298507463,18,3491,12000,20,1.254675516,65,70,169072,182087,39711,15491,55202,51711,406361,233798,0.518518519,0.481481481,0.48146713700000004,0.518530015,26,4
3,21189,2008/8/22,2008/8/23,男,5,Los Angeles,CA,US,64.0,2014/3/31,23,337314,0,34890,116350.0,125500.0,281336,306900.88,2013/12/26,2.875,42164.25,21,97,27.86363636,73,0,0,11,1.090869565,13,10,186104,151210,34890,0,34890,34890,372204,186100,0.434782609,0.565217391,0.551721684,0.448275351,12,4
4,39546,2009/4/10,2009/4/15,男,6,贵阳,贵州,CN,48.0,2014/3/31,152,273844,0,42265,124560.0,130702.0,309928,300834.06,2014/3/27,19.0,34230.5,3,5,4.78807947,47,0,22704,27,0.970657895,71,81,128448,145396,42265,22704,64969,64969,338813,210365,0.532894737,0.467105263,0.46905366200000004,0.530942687,39,4
5,56972,2008/2/10,2009/9/29,男,6,广州,广东,CN,64.0,2014/3/31,92,313338,0,27323,112364.0,76946.0,294585,285067.69,2014/1/13,11.5,39167.25,11,79,7.043956044,52,0,2460,10,0.967692483,50,42,190583,122755,27323,2460,29783,29783,343121,152538,0.456521739,0.543478261,0.608232617,0.39176419100000004,15,4
6,44924,2006/3/22,2006/3/29,男,6,乌鲁木齐市,新疆,CN,46.0,2014/3/31,101,248864,0,37689,120500.0,114469.0,287042,277095.0,2014/3/31,12.625,31108.0,11,1,7.19,28,0,12320,20,0.965346535,50,51,123200,125664,37689,12320,50009,50009,298873,175673,0.504950495,0.495049505,0.495047516,0.504948466,29,4
7,22631,2010/4/9,2010/4/9,女,6,温州市,浙江,CN,50.0,2014/3/31,73,301864,0,39834,82440.0,114971.0,287230,276335.43,2014/3/29,9.125,37733.0,0,3,10.11111111,45,0,9500,7,0.962070222,30,43,157597,144267,39834,9500,49334,49334,351198,193601,0.589041096,0.41095890399999996,0.52207775,0.47791893700000004,14,4
8,32197,2011/6/7,2011/7/1,男,5,DRANCY,,FR,50.0,2014/3/31,56,262958,0,31700,72596.0,87401.0,321489,266346.64,2014/3/26,7.0,32869.75,7,6,13.05454545,94,0,500,5,0.828478237,33,23,127130,135828,31700,500,32200,32200,295158,168028,0.41071428600000004,0.589285714,0.483459399,0.5165367989999999,7,4
9,31645,2010/7/5,2010/7/5,女,6,温州,浙江,CN,43.0,2014/3/31,64,204855,0,47052,85258.0,60267.0,375074,265556.2,2014/3/17,8.0,25606.875,2,15,11.33333333,73,0,0,13,0.7080101529999999,39,25,107949,96906,47052,0,47052,47052,251907,143958,0.390625,0.609375,0.526950638,0.47304448,16,4
