,MemberNo,Gender,Age,WorkCity,FFPdate,Category
0,54993,男,31.0,.,2006/11/2,4
1,28065,男,42.0,,2007/2/19,4
2,55106,男,40.0,.,2007/2/1,4
3,21189,男,64.0,Los Angeles,2008/8/22,4
4,39546,男,48.0,贵阳,2009/4/10,4
5,56972,男,64.0,广州,2008/2/10,4
6,44924,男,46.0,乌鲁木齐市,2006/3/22,4
7,22631,女,50.0,温州市,2010/4/9,4
8,32197,男,50.0,DRANCY,2011/6/7,4
9,31645,女,43.0,温州,2010/7/5,4
10,58877,女,34.0,PARIS,2010/11/18,4
11,37994,男,47.0,北京,2004/11/13,4
12,28012,男,58.0,SAN MARINO,2006/11/23,4
13,54943,男,47.0,深圳,2006/10/25,4
14,57881,女,45.0,广州,2010/2/1,4
15,1254,男,63.0,BOWLAND HEIGHTS,2008/3/28,4
16,8253,男,48.0,乌鲁木齐,2010/7/15,4
17,58899,女,50.0,PARIS,2010/11/10,4
18,26955,男,54.0,乌鲁木齐市,2006/4/6,4
19,41616,男,41.0,东莞,2011/8/29,4
20,21501,男,49.0,.,2008/7/30,4
21,41281,男,,VECHEL,2011/6/7,4
22,47229,男,69.0,广州,2005/4/10,4
23,28474,男,41.0,,2010/4/13,4
24,58472,女,48.0,,2010/2/14,4
25,13942,男,39.0,PARIS,2010/10/14,4
26,45075,男,46.0,湛江,2007/2/1,4
27,47114,男,47.0,.,2005/1/15,4
28,54619,男,62.0,广州,2006/1/7,4
29,12349,男,46.0,深圳,2008/6/16,4
30,35883,男,55.0,乌鲁木齐市,2006/4/11,4
31,56091,女,46.0,广州市,2004/11/25,4
32,2137,男,69.0,广州,2005/4/11,4
33,27708,男,45.0,深圳,2006/3/20,4
34,28014,女,48.0,Paris,2006/12/1,4
35,3539,男,53.0,UPLAND,2009/10/13,4
36,56149,男,39.0,番禺,2005/2/13,4
37,44936,男,37.0,乌鲁木齐市,2006/3/30,4
38,62751,男,45.0,北京,2007/5/8,4
39,40066,男,63.0,广州,2009/2/27,4
40,18793,男,48.0,.,2006/4/25,4
41,13963,男,63.0,广州,2011/1/18,4
42,46084,男,54.0,广州,2007/1/4,4
43,58798,男,51.0,广州,2010/5/4,4
44,56089,男,49.0,广州市,2004/12/4,4
45,58693,男,39.0,PARIS,2010/12/11,4
46,28780,男,47.0,广州,2012/7/13,4
47,27836,男,59.0,.,2006/7/16,4
48,38073,男,76.0,长沙,2005/1/26,4
49,22629,男,49.0,SUMIDA-KU,2010/7/15,4
50,12326,男,40.0,.,2008/5/21,4
51,24222,男,51.0,广州,2012/1/8,4
52,916,男,46.0,番禺,2006/11/18,4
53,45008,男,54.0,乌鲁木齐,2007/12/10,4
54,11523,男,49.0,深圳,2007/7/6,4
55,56088,男,41.0,广州,2004/12/3,4
56,56573,女,38.0,广州,2007/11/26,4
57,38883,男,48.0,广州,2008/2/2,4
58,38035,男,42.0,深圳,2004/12/28,4
59,11034,男,59.0,北京,2005/1/26,4
60,47143,男,48.0,.,2005/2/17,4
61,29033,男,60.0,HK,2004/11/19,4
62,16812,男,52.0,PUCHONG,2010/6/9,4
63,5241,男,31.0,杭州市,2011/5/14,4
64,49208,男,44.0,北京,2010/5/28,4
65,38241,男,53.0,广州,2005/8/13,4
66,38456,男,39.0,TORRANCE,2007/11/15,4
67,44377,男,53.0,成都,2010/7/10,4
68,49737,男,30.0,石狮,2010/10/30,4
69,47919,女,43.0,,2008/12/14,4
70,23528,男,33.0,LOS ANGELES,2012/8/15,4
71,58088,男,55.0,深圳,2009/10/19,4
72,51079,男,37.0,上海,2011/12/21,4
73,19420,男,47.0,长沙市,2007/11/18,4
74,58753,男,28.0,PARIS,2010/10/13,4
75,13517,女,45.0,PARIS,2010/8/14,4
76,56048,男,46.0,Haarlem,2013/3/15,4
77,50434,男,44.0,LOS ANGELES,2011/6/9,4
78,13869,男,42.0,湛江,2010/10/26,4
79,47432,男,47.0,广州,2005/10/21,4
80,60658,女,37.0,MANTES LA VILLE,2012/6/29,4
81,9744,男,53.0,.,2006/7/13,4
82,18111,男,44.0,乌鲁木齐,2008/9/19,4
83,42444,男,67.0,东莞,2012/4/25,4
84,11055,男,47.0,阳江,2005/2/17,4
85,47107,女,57.0,深圳,2004/11/18,4
86,62880,男,55.0,福州,2006/5/8,4
87,49441,男,47.0,深圳市,2010/7/3,4
88,20569,女,35.0,重庆,2007/6/28,4
89,47687,男,70.0,广州,2007/10/5,4
90,37305,男,40.0,广州,2008/6/13,4
91,58189,男,54.0,南宁,2011/1/31,4
92,25857,男,43.0,.,2007/1/26,4
93,951,男,46.0,.,2006/11/28,4
94,4178,男,41.0,SIPASDENA,2010/4/13,4
95,2010,男,40.0,广州市,2004/11/26,4
96,38290,男,66.0,广州,2005/9/23,4
97,57622,男,55.0,Zwijndrecht,2011/4/14,4
98,2001,女,39.0,广州市,2004/11/11,4
99,60311,男,49.0,香港,2012/4/27,4
100,36030,男,51.0,珠海,2008/7/28,4
101,35766,男,56.0,长春,2008/9/8,4
102,33319,男,41.0,乌鲁木齐,2012/4/28,4
103,55096,男,47.0,中山,2007/1/3,4
104,30681,男,55.0,,2010/5/26,4
105,17837,男,48.0,长春,2005/10/22,4
106,3872,男,61.0,香港,2009/1/18,4
107,56201,男,36.0,广州市,2005/4/5,4
108,4468,女,33.0,ANDE,2011/9/14,4
109,32602,男,55.0,Glendale,2011/10/9,4
110,11277,男,45.0,深圳,2005/8/26,4
111,45117,男,30.0,Suwanee,2010/11/17,4
112,19051,男,42.0,北京,2006/11/28,4
113,19371,男,53.0,CRONULLA,2007/5/31,4
114,60020,女,49.0,LOS ANGELES,2012/6/7,4
115,2007,男,43.0,广州,2004/11/25,4
116,56093,男,59.0,广州市,2004/11/24,4
117,62762,男,42.0,沈阳,2008/8/23,4
118,49215,男,40.0,深圳,2010/5/7,4
119,20362,男,59.0,广州,2005/7/29,4
120,38022,男,36.0,广州市,2004/12/2,4
121,47179,男,54.0,广州,2005/3/16,4
122,17903,男,48.0,长春,2008/5/30,4
123,45581,男,49.0,广州,2005/12/29,4
124,47255,女,48.0,武汉,2005/4/23,4
125,876,男,41.0,.,2006/8/14,4
126,6088,男,46.0,上海市,2011/11/14,4
127,50931,女,47.0,VALINDA,2012/12/20,4
128,38443,男,47.0,广州,2007/6/8,4
